context,response
Allergies. Don't deflect. You always deflect.,"Did she cry? When you told her that she was gonna die, did she cry?"
She! got upset. She ï¿½,Were. there. tears?
No.,"Chopping an onion releases a mist of syn-propanethial-s-oxide, a chemical irritant which causes people to have a very predictable reaction."
She has no tears.,"It was either this or put on Brian's song. I didn't have time to stop by Wilson's. She has Sjogren's. It attacks the glands that produce tears and saliva. Also, by the way, causes lung cysts and RTA."
It doesn't cause bleeding.,"It's like you and men. Just 'cause you usually don't, doesn't mean you can't."
And it doesn't cause cracked lips in other people.,Lack of spit makes her mouth a breeding ground for a fungus like Candida. Your asthma inhaler did the same for you. Wiped out your mouth's immune system.
So she's got what I've got.,"Just the opportunistic infection, not the underlying condition. Another life saved by girl-on-girl action."
You're gonna be okay.,Methylprednisolone to get the Sjogren's under control. And some artificial tears to maximize the visual impact of this moment.
What do you think?,"Oh, my God! You guys shop here too? Best nipples in Princeton."
Why are you here?,Because he ate the donut.
I'm sure.,"Well, you're clearly not pregnant, so either you're buying this as a gift, or this is some kind of weird ""if you build it, they will come"" moment."
Are you gonna congratulate me?,"If you're happy, I'm ï¿½"
"Great. That's all I need to know. You're late! Okay, bye. 37-year-old male with recurring blackouts.",Tell him to switch from tequila to bourbon. Worked for me.
The three doctors he's already seen already ruled out drugs and alcohol.,"Well, then it's epilepsy. Tell him to buy a hockey helmet ï¿½"
EEG's clean. So is the CT.,Relax. Just because you got approved by an adoption agency doesn't mean you'll get approved by the birth mother. You're a single mom. That puts you somewhere below couples acquitted in day care scandals.
"You're welcome, Dr. House. It is an interesting case.",What time are you seeing the mom?
Are you having your guy follow me?,"I just trashed your social value as a mother, and all I got was a little sarcasm. It means you don't feel the need to defend yourself, which means you're not worried about getting a kid, which means you've already got one."
We're meeting at 11:00. She's due to deliver a baby girl in two weeks.,I'm sure the mom'll be thrilled to hand her crack baby off to a doctor.
She's not a crack baby.,"No, mother's perfectly healthy. She just had to give up the baby in order to continue her work on the huMan genome."
She confessed to some past meth use.,What they don't confess to is almost always more interesting. This is a mistake.
Because a kid you don't know may have some pRoblems you don't know about that she may have passed on to a kid?,"Because you're a control seeking narcissist. Which is fine, good Even, in some jobs. But you're not equipped to handle a real kid, nEver mind a factory second. Where are you meeting her?"
"In a little place called ""follow me and your urologist will be buying himself a new yacht.""","They explained the returns policy, right? It's worse than video games."
Could be post concussion syndrome.,Not without a pre-concussion. Pick a number.
For what?,Cuddy pool. She got the nod. Little tweaker's due in 14 days.
That's great news! I think.,"It's good news. The great news is she insisted that she's not gonna change her mind, which means she's actually thought about changing her mind, which means she's not sure she's ready to be a mom, which means she's not ready to be a mom, which means she's gonna change her mind. The only question is when. $100 buy in. Less than sEven means the next sEven days."
But she's been dying for a kid for three years. No way she's gonna back out now.,Not one of the options.
Cavernous sinus thrombosis could cause absence seizures and memory loss. I'll take 7 to 14.,We have a player.
It's only great news if she wants it to be great news. House knows her better than any of us. I'd rather use a pseudonym.,Good thinking. I say she's gonna meet the mom and bolt. I'm going for the early fold. Check his home for toxins and his sinuses for thrombosises.
Could be some sort of narcolepsy.,Which is caused by!
There's usually genetic history.,Or?
"If you know the answer, can you tell us the answer?",I don't know the answer. Which brings us back to ï¿½ or?
Some sort of environmental trigger.,Which means?
It's a toxin.,So we are?
Being lead down an annoying path.,I honestly don't know where this is going. Just following the clues.
We're right back where we started. The mold we found doesn't cause these symptoms. And there's nothing else at his home.,And?
And you're obnoxious. He nEver goes anywhere else.,Which we know because?
Because he says so. Because his daughter says so. Because they have no reason to lie.,Which proves he nEver goes anywhere else! when! he's!
Conscious.,"Oh, my God, you're right."
He said he had an appointment.,"Next time, let him keep it. Send him home. See where his dreams take him."
There are dozens of other things this rash could indiCate. I want a full fetal work up.,You're losing it. That's what happens when you have kids. Ceaseless crying and nagging leads to irrational fears. It's impressive that you didn't wait for the actual crying and nagging.
"She had a lace pattern rash, joint pain, and a history of drug abuse. You would've done exactly the same thing.",Uh-huh. And I'd be an excellent father.
Hey! What are you doing?,Baby barf. Maternity ward was handing out free samples.
"Well played, sir. You leave me no choice but to change. My clothes, not my mind.","That's exactly my point. It's not gonna be me and a cup. It's gonna be eight times a day. If you can't handle wearing that stain, you can't handle a baby."
Why do you Even care? It's not like I'm Ever gonna ask you to babysit.,I'm a huManitarian.
"Apparently, Rip's a coke fiend.",So Sleeping Beauty has a Jones for Snow White.
He has no reason to lie. He knows he's sick. His job doesn't drug test. No relationship. His daughter wouldn't find out.,Maybe he just forgot.
Forgot he did cocaine? You're going with forgot over lying?,Fits. Cocaine explains the narcolepsy. Narcolepsy explains the sleepwalking. WhatEver is in the cocaine other than the cocaine explains the memory loss.
"Great, we'll start him on immediate treatment for all kinds of garbage.",You can narrow it down in the lab.
Not without a sample.,So get a sample.
You want us to score cocaine from a drug dealer?,It's exciting.
It's a felony.,It's necessary.
"No, I'm a just a bitch who knows what she wants.","Looks like this kid thing is really working out for you. All of the shopping, none of the stretch marks."
Not a good time.,"Right, kid's getting worse. Blessing in disguise. Although a completely predictable one. You take in strays, don't be surprised by the worms."
Still wearing the sweater.,I didn't say you weren't stubborn. I said you weren't maternal.
Thank you. Go away.,You're getting crankier.
Baby's sick. Sorry I'm not finding the fun in that.,Is it really worth it? Just for the pursuit of unconditional love?
Only you could see that as a bad thing.,It's a fake thing. There's no unconditional love. It's just unconditional need. Don't make this Parkld a victim of your biological clock.
Victim? You think she's better off staying ï¿½,Yes! Because at least she knows she's not qualified for the job.
"Let me guess. I'm gonna tell her not to play ball in the House, but she's not gonna listen.","No, actually, I was going for ""she sneaks her boyfriend in while you're sleeping, and he wants to do it on the desk."" And at first she says no, but she has issues with self-esteem."
You know you're gonna pay for that.,I'm paying for it right now. With wisdom.
We found lactose. The coke was cut with milk powder.,Makes it nutritious.
Not much of a toxin.,It is if he's allergic to milk.
He's not. He has milk in his fridge.,How does he like his coffee?
I don't know. What does that ï¿½,What type of cereal's in the cabinet?
"Cocoa-something. Why, what does it matter?",He likes his coffee black. Milk's for the kid.
How can you be sure?,"Because if he drank the milk, he'd know that he's lactose intolerant. Ask him, then treat him for allergic reaction. If he gets better, we all get to go home early."
The mother had a stage two placental abruption. She's losing blood.,So deliver the baby.
The lungs are ten weeks premature.,"So deliver now, risk the baby. Deliver later, risk the mom. It's not your baby yet. It's not your call."
She'll do whatEver I tell her to do.,"Self-worth issues. That's genetic, you know. You should deliver now."
Right.,Are you serious?
You're not? You just told me ï¿½,The wrong answer. You can give the mom more blood. You can't give the fetus more lungs.
The lungs might work. It's the right decision medically.,And yet you're here.
"To get your opinion, not to get jerked around.","See, this is what's screwed up here. You're not sure that this is the right call, but you are sure that this is what you want to tell her. And that scares you because your motives aren't medical. Some part of you doesn't want this baby, and that part wants to tell her to kill it."
This is an impossible situation. I'm advising her to take the safest route.,Right. Doesn't explain why you changed your sweater.
Right. Doesn't explain why you changed your sweater.,I need your advice.
It's not cancer.,Wow. Can you remove spleens with your mind too?
You're here to talk about Cuddy. The file is a pretext.,Why the hell haven't you come to talk to me about Cuddy? I've been doing all sorts of insane stuff.
"If she can't handle your insanity, she can't handle a baby.",That's exactly my point.
"No, it isn't. You're feeling threatened because she's going onto high school and leaving you behind to repeat the eighth grade.",She's sleeping with the math teacher to get a diploma.
Adoption is cheating? Are they giving her a fake kid?,"That's the pRoblem. She gets to have a relationship with a kid, but she can't handle one with an adult. So she's gonna kill it."
"Well, it does seem cleaner. I've seen the file. She's making a judgment call.",Decisions are nEver made in a vacuum.
Just like your decision to make her miserable. You're doing this because we no longer have inkwells and Cuddy doesn't have pigtails.,Why do you think I did that?
Because there aren't any. I think! You're sweating blood.,Guy's bleeding out of his pores. What does that tell us? Other than that you don't want to play basketball against him and he's dying?
Leukemia has false negatives all the time.,"So we have four reasons for leukemia, four reasons against."
Only need one against.,"Yeah, if we had one reason for anything else. Go do a bone marrow biopsy."
"Chem panel confirms kidney failure, end stage.",Got him on dialysis?
BP's too low.,Too bad. It would've been nice to have more than an hour or two to solve this thing.
Hemachromatosis?,He have tiny testes?
No. Scleroderma.,"His skin's darker, not lighter. As much fun as 20 questions tends to be, he's blowing blood out of Every orifice, you think it just might be vascular?"
Vasculitis?,"If I had said it might be ""vitas gerular,"" would you have said ""Vitas Gerulaitis?"" Test him for vasculitis, angio and blood."
"Even if we're right, he's gonna need a kidney transplant.",Test the daughter.
She's 12.,Small kidney. It just means he won't pee as much. Great for road trips.
"I meant she's a minor and daddy has a conflict, so we're gonna need Cuddy's sign off.",So get it.
Clamp. Suction. Entering the abdominal cavity. There's the head.,Got a minute?
"Well, why is he here?",Better question is why is she here? You're an administrator. Administrate. I have a Patient's daughter needs a guardian ad litem.
That's it.,Tests are inconclusive. But either way he's gonna need ï¿½
"House, get out!",This doesn't need you. I do.
Later.,Later's too late.
She's! yours now.,"Mazel Tov. Now it's time to say those magic words you'll be telling her for the rest of her life, ""Mommy's gotta go to work.""ï¿½"
Have the risks of the transplant procedure been explained to you?,Damn it. I was hoping you weren't going to ask her that. Of course she knows. Can you just sign the paperwork?
Dr. House explained to you that all surgeries carry risk? You could die.,"And if you don't do it, daddy will die."
Stop pressuring her.,Sorry. Daddy's perfectly healthy. But we want you to give him a kidney anyway because it'd be cool if he had three.
"Okay, go ahead.",No.
I'm saying you can proceed.,"I'm saying I can't. WhatEver he has, she has too. She's sleepwalking."
"If we don't give him a new kidney, he's dead in a week. We have to transplant.","When your remote has a dead battery, you don't replace it with another dead battery. WhatEver's killing the dad's kidneys is gonna kill the kid's too."
"It narrows it down to any one of a dozen genetic disorders, each of which takes more than a week to run.",Call Foreman. Get to work.
Cuddy is positively aglow. What's your theory? She's only acting happy to make you miserable?,I need a genetic disease.
I'm sure you're carrying a few.,"Symptoms are kidney failure, bleeding, and insomnia."
"You paid off the pool? Technically, anyone who didn't enter is a winner.",It's not over yet. Everyone's happy until they unwrap that pretty present and find they got a wall clock in the shape of Africa.
"Adoption's a cheat, remember? There's no real pregnancy, so there's no stranded dopamine receptors, so there's no postpartum depression. Cuddy will be the happiest new mother you've Ever seen. I've just given you the answer, haven't I? And now you're going to walk out of here without saying a word.",Nope!
Nope!,"Good news. I know what you have, and you're both gonna be fine."
What? Are you serious?,Yes and no.
So you do know what they have?,Yeah.
But they aren't gonna be fine?,No idea. They might be.
Why the hell would you say they were?,To make them happy.
For two seconds?,"Technically, to see if they can be happy. We should've seen a grin, a twinkle, a sigh of relief, something."
They're sick. They're tired.,"They're anhedonic, incapable of experiencing pleasure. Something's bushwhacked their dopamine receptors."
They're depressed. Mom's dead. Dad's dying. You should know that being bummed isn't necessarily a pathology.,Being bummed doesn't explain their lack of friends or their indifference to each other.
"But if you can't feel pleasure, what's with the cocaine?","Really? Is that why you do drugs? Because you're happy? Most people do 'em because they want to be happy. His subconscious craved it, needed it."
Most common cause of anhedonia is sParkzophrenia.,"Sure, in white folk."
They're! black?,They're liars. What's your name?
Jerry Harmon.,Your real name. Hosarian? Herzog? H'ali-baba?
Hammoud. Jamal Hammoud. Changed it when we invaded Iraq the first time. How'd you know?,"You and your daughter have Familial Mediterranean FEver. It's a genetic disease contracted by people of Mediterranean descent. Sephardic Jews, Armenians, Arabs. Causes anhedonia, seizures, kidney failure, Even lactose intolerance. Symptoms are set off by age and stress. Kid couldn't get happy, but she could get stressed by daddy dying."
You don't know if we'll get better?,Treatment tends to be hit and miss once you reach the sweating blood stage. Start them on colParkcine and melphalan.
"His kidneys are fried. If he doesn't have FMF, the colParkcine will kill him.","Boy, sure hope I'm right."
It's really not the greatest time for gloating.,There's more than one baby in the sea. The world is full of teenage boys riding bareback.
No. I'm done. I can't go through that again.,You're quitting. Just like you quit IVF.
"Yeah, just like that.","There, you just did it again. It's too bad. You would've made a great mother."
"You son of a bitch. When I was getting a baby, you told me I'd suck as a mother. Now that I've lost it, you tell me I'd be great as a mother. Why do you need to negate Everything?",I don't know.
I don't know.,Good night.
35-year-old male ï¿½ crushing headache and three seizures in the last two days.,"So it's a bleed, clot, tumor, metabolic, or infection. Stick him in a CT."
Can't.,I'm assuming he has a giant head.
SEvere agoraphobe. The world scares the hell out of him. So we can only test him with whatEver we can take to him.,Fun.
Only of being shot. He and his girlfriend were mugged sEven years ago. That's when it started.,Anybody can hate huManity after getting shot. Takes a big Man to hate it beforehand.
I talked to him through his door when he had flu last year. I run the community outreach program now.,See? Perfectly reasonable explanation. She's definitely not here trying to work her way back on the team and steal your job or anything.
"He agreed to meet with us. But Even if I can get inside his House, his brain is a black box. We can pick this up in a minute.",What's this?
Take-out menus. But I'm hoping you'll come up with a better answer when Everyone asks what we're talking about. Last night ï¿½,Forget it.
"I know this is awkward, but we need to talk.",There's a reason that we've evolved a feeling of awkwardness. It tells us not to talk about things.
I was emotional because of the adoption falling through. And you actually let your huMan side show for a moment. That is why we kissed. I just want to say thank you for not! taking advantage.,"You're welcome. Any time you want to stop kissing, I'm there for you."
What did Cuddy want?,"I kinda hit that last night, so now she's all on my jock."
The only equipment we have is a sonogram and a portable X-ray.,"What part of olivine, pyroxene, and amphibole don't you understand?"
"We provoke a seizure. The indicator is the increased electrical activity focused around the abnormality. We do an EEG, see the focus, see where the pRoblem is, which tells us what the pRoblem is.",The Formster and the Camster. Kickin' it old school. Thank God she's not trying to steal your job. Go do it. And search the home for toxins.
"Well, right now I'm not.",Go away.
Did you speak to Cuddy last night?,She's fine. Why would it take anyone more than a few hours to get over misplacing a baby?
You spoke to her?,Kinda hit that. So she's all on my jock.
Wha ï¿½ what?,Huh. Everyone else thought I was kidding.
"You hit? Like making out, or full-on sex or ï¿½",Got a chart laid out with all the bases. I'll take you through it.
Wh ï¿½ what are you gonna do?,What can I do? I'm going to ignore her for the rest of my life. This mosquito bite kept me awake.
Don't care about the bug bite. She's your boss.,So now I have two reasons to ignore her. It was just a kiss.
There's a reason.,Yes. Those large things in her bra.
"You were hiding it from me, means it meant something to you.","Yeah, I fiendishly concealed it within the phrase ""I hit that."""
Stop scratParkng. You'll draw blood.,"Finally you said something useful. If I actually break the skin, it'll let the poison out."
If you! dated Cuddy! there would ï¿½,Sorry. I get better reception when you're not here.
Sorry. I get better reception when you're not here.,What do you got?
His place is totally clean. No animals. No hidden drugs or alcohol. No lead in the paint.,"And since you're not breathing hard, I assume you're not holding Cameron aloft in triumph. Which means no seizures."
"And since you're not breathing hard, I assume you're not holding Cameron aloft in triumph. Which means no seizures.","Hey, speaking of breathing hard, Cameron, you engaged to Chase yet?"
We aren't engaged. Moves things along much faster to just give him the answers. Seizures can also be induced through ï¿½,After six years?
A year and a half. Through sleep deprivation or ï¿½,Sleep deprivation would take too long. You living together?
We spend most nights together. There's a bunch of drugs that can lower a seizure threshold.,And cloud the diagnosis with side effects. His place or yours?
His usually.,Interesting.
You would've said interesting no matter what the answer.,"And no matter what the answer, it would've been interesting. No engagement. Commitment issues. His place, control issues. Not sure whose, but interesting."
"Yeah, moves much faster this way.",Where was the Patient when he had his first seizure?
In his entry hallway getting his mail.,"Getting close to the outdoors, spooked him, raised his BP. Use that fear. Bring him outside."
"He punched out a fireMan. We're doctors, not bouncers.",Okay. So bring the outside to him.
Okay. So bring the outside to him.,"Floors , genuine wood."
Why are they here?,They overheard me announce the half price bank foreclosure in the ER waiting room. Where's Everybody?
"Cameron's with the Patient. Uh, Everybody else went home.",Because they don't need to be here. Neither do you. And yet you are.
Because they don't need to be here. Neither do you. And yet you are.,This way.
Molding's original?,Original? They were here before the House. The shut-in's also original. Come on. Don't be shy.
"House, get them out of here.",Easy for you to say. You're not gonna be making some serious capital gains.
This is cruel.,"And leaving him undiagnosed is what, altruistic? Procedure worked. He's seizing. What do you see?"
Normal theta. Normal delta. This isn't a seizure.,It's something.
Stomach's killing me.,See? It's something.
Partial small bowel obstruction.,Blockage explains the pain. What explains the blockage plus seizures?
"Could be a million things. There's no way to know unless we get him in for an MRI on his head or exploratory surgery so we can biopsy his bowels, which he won't let us do.",Wouldn't. Pain changes things.
He told you to stay out of here.,He can Chase me out once he's done doubling up in agony.
He can Chase me out once he's done doubling up in agony.,"WhatEver your big pRoblem is, it's caused a complication we call ""colon FOS."" ""Fo,"" full of. Since we're in mixed company, ""S"" is stool. Nothing's coming out. So the pain's gonna get worse and worse. We need to stick a pooper scooper in you. We also need to take a look at your bowel."
I made my wishes clear.,"Uh-huh, and if the crazy fairy were here, she could grant them."
I'm not insane. I ï¿½ I feel pain when I go outside. So it ï¿½ it's rational to avoid that pain.,Except now you're feeling pain inside.
We can give him drugs for the blockage.,"And if it doesn't work? That blockage will rupture your intestines, spew sewage throughout your body. WhatEver you're scared of out there, aren't you more scared of death?"
"You obviously can't stand people. But for me, it's worse. All right? I'd rather die in here than live out there.","If you don't mind floppy hair and an annoying accent, I know a surgeon who will operate in your home."
"With the risk of infection, Chase won't actually ï¿½",He's not gonna do surgery in some crazy dude's House.
You just said ï¿½,"What I said was that Chase would put him under at the House, we'd take him to the hospital, open him up, do our thing, then slip him back into his room for the post-op without him Ever finding out that we tricked him. Some of that was implied."
It's unethical.,He'll be asleep.
He gets to make his own calls Even if he's asleep.,"Why are you siding with him? Oh, yeah, you're that girl who likes broken people because her husband died. And since Chase isn't all that broken ï¿½"
"Hey, why don't we operate on his infarcted leg while we're at it? Who cares if he said no.",I was risking my life to avoid becoming a cripple. He's doing it to avoid sunlight and fresh air.
Why aren't you arguing with her?,"Because she's right. I don't care where he gets the post-op, just that he gets it. Keep him here."
House. You okay?,Yes. We don't need to talk.
Your hand.,That's weird. I usually don't get the stigmata until Easter.
"Well done. Your Patient called his Lawyer, threatened to sue us. He's now heading home completely undiagnosed.","He'll soon be on his way back. He's sick. He'll crash. He'll lose consciousness. I'll declare an emergency, bring him back in."
What's going on between you and Cuddy?,Bad lovin' gone bad.
Seriously. Why didn't you argue with her? She just threw us off the case.,"Because ignoring her is a lot easier. Convince the Patient to let us back in again. See if you can clear his blockage with lactulose. If this thing kills him before we can diagnose, it won't be fun anymore."
It's like the red badge of idiocy.,"If the confederacy had mosquitoes, we'd all have southern accents and I'd be paying Foreman less."
"She kicked you off the case. This is what happens when you don't address it. She acts weird, things get different.",You understand that different implies difference. She's tossed me a million times before.
"No, she always chastises you. And you'd always come running to me to complain. So you're acting different too. You're scared. You are scared to get involved.",How is that scary? It's rational. Emotionally mature people who work together should not date. Guaranteed breakup. Guaranteed ugliness.
"Any relationship that doesn't end in a breakup ends in death. Everything falls apart in the end. That's your worldview. The corollary, which you keep forgetting, is that you have to grab any chance for happiness.",Why does this matter so much to you? Cuddy and I are fine. The only person getting worked up here is you.
I don't want you to be fine. I want you to be happy. I think if you dated her ï¿½,"Are you familiar with the adverb ""vicariously?""ï¿½"
If I wanted to ask her out ï¿½,You did ask her out. Last year. WhatEver happened there?
I don't know. I wasn't interested.,"Wrong. You were interested. But Amber grabbed your genitals first. But now you're single, and that makes you miserable because you think it's too soon for another relationship. So you're gonna make me miserable. Please, get a girlfriend, or a life, or something. For me."
"Wrong. You were interested. But Amber grabbed your genitals first. But now you're single, and that makes you miserable because you think it's too soon for another relationship. So you're gonna make me miserable. Please, get a girlfriend, or a life, or something. For me.",Better or worse?
Worse. Drugs aren't working. I think we should do the surgery in his House like we planned.,"Well, then one of us wasn't paying attention because I thought that surgery thing was just a trick."
We prepared the room. We hung the drapes. It's pRobably ten times as sterile as any mobile operating theater you'd find in a battlefield.,We still need Trapper John.
Chase doesn't want anywhere near this surgery. Maybe you could talk to him.,I can't understand a word he says.
I can't understand a word he says.,Taub. Doing anything later?
"I will. And in fact I've nEver done this before because I went to med school, not nurse school.","Hey, wanna see if your client's actually made of money?"
Suture.,Mucosa's pink. Flattened villi.
Intestinal atrophy. It's Whipple's disease.,Explains the seizure and the stomach pain.
Little bleeder here. Cautering.,"Hey, wait. The gas ï¿½"
"Hey, wait. The gas ï¿½",That always happens during surgery. Just the gas build up in the blockage. Nothing to sue about. Treat him for the burns. Put him on antibiotics for the Whipple's. He'll be fine.
We should run a blood test for celiac.,Not fast enough. Not accurate enough. Force-feed him wheat then do an endoscopy as it hits his duodenum. See if there's an allergic reaction.
"So is the blood test, which is painless.","Foreman, listen to that little voice in your head that's coming from the telephone. Force-feed him."
I'm guessing that's a new technique.,"Hey, you remember that idea that Cameron had about trying to torture the Patient into admitting himself?"
Pretty sure it was your idea. You want me to slow down the test?,"Wow. Everyone's got all these great ideas today. So you're thinking Patient won't leave because leaving causes pain, so we gotta make staying more painful. That actually makes sense."
"You'll increase his pain, but not enough to make a difference. He's on morphine.","He's on morphine now. Pretty soon he'll be on less-phine. 'Cause when you restock, you'll actually be giving Cameron IV bags of saline."
And why do you think I'll be doing this?,Same reason you did the surgery.
That was because it was an emergency.,"No. It was because your marriage is falling apart. When you confess adultery, things tend to go bad. When one part of your life does a Titanic, you make a life raft out of whatEver's left, which makes your job more significant, which is why you did the surgery, why you pulled an all-nighter, and why you'll do this."
She's having me sleep on the couch. Just for a few nights. I'm not doing this to save my job. I'm doing this to save his life.,Right. That's what we'll tell Everyone.
Right. That's what we'll tell Everyone.,Huh.
Huh.,Buzzzzzzz.
Have you considered that it's not my place you really want to be walking into right now?,"Rick Ocasek would kill me if I ï¿½ oh, you mean Cuddy."
"Yeah, she's a little nuts. But she's beautiful, smart, funny, and most important, she can stand you.","Yeah. I came here to have you lecture me on Cuddy, not because there's a killer mosquito chasing me around my apartment."
"House, there is no mosquito. This is all about Cuddy.","Ah, she's bugging me. Poetic."
Have you seen this bug?,Have you seen this bite?
No. What I've seen is a suppurating wound that you've scratched and mutilated into a gangrenous state. Delusional parasitosis.,I am not imagining things.
"House, you're a drug addict. You're always imagining things. You got bitten the night you kissed her. Your itParkng always gets worse when you think about her. You need to address this.",She's my boss.
"No, you're not afraid of authority. You're afraid she actually is right for you. You're afraid to take a chance because it's too big a chance. If it doesn't work with her, then maybe there's no one out there.","I am not rationalizing. I'm better off alone. Also, you seen her ass recently?"
You're not staying here.,"Oh, come on."
"No. You can go home. Or you're going to Cuddy's, gonna ring her doorbell! And you're gonna ask her out on a date like regular people do.",At 3:00 in the morning? When do regular people sleep?
Buh-bye.,Is he in enough pain to come in yet?
No. Antibody tests back?,Inconclusive.
Then why are you here?,I missed you. Endoscopy?
Inconclusive.,"Well, then do it again."
Anything?,No pulse. Start CPR.
Who are you calling?,Pizza. You like anchovies? I'm calling the Lawyer. Genuine emergency. He'll okay admission.
He's dying.,Exactly. Hi. Sorry to wake you. Your introvert is having a heart attack.
"House, if we don't restart his heart!",He can survive 15 minutes on oxygen and CPR. We can get him to the hospital in five. Lawyer says yes. Continue CPR.
He can survive 15 minutes on oxygen and CPR. We can get him to the hospital in five. Lawyer says yes. Continue CPR.,2123 Holden Green. Patient with PEA.
Clear.,Wait!
"His heart's back to sinus rhythm, but it's bradycardic. Taub's putting in a temporary pacemaker. It'll keep his heart beating for now.","Hey, Cameron, how would you like your old job back? I'm asking 'cause it's the only way I can fire you."
Could be lymphoma.,We'd have seen it on the abdomen. It has to be a poison.
"Unless he's eating a bouquet a day, he couldn't ï¿½",How clean?
Very. He pRobably has a little OCD.,How often do you wash your tub?
Every couple days.,Bleach and ammonia?
Yeah.,You know how kids play toy soldiers in the bath? He likes to re-enact the battle of Ypres three times a week with real gas.
Highly fat soluble. He lost weight after the stomach pain. Explains why his symptoms kept getting worse.,Put him on parenteral steroids and sodium bicarbonate.
"Even if you're right, that external pacemaker's gonna fail Eventually. And I don't have the skills to put in a perManent one.","Well, maybe the poison hasn't completely shot his heart. And you won't have to feel guilty for the rest of your life."
I just tried your House. Where are you?,Clubbing. Good or bad?
Bad. Vitals are dropping. The abdominal pain keeps getting worse.,Means we were too late with the treatment. Tell the Lawyer he's off the clock. We're done.
You're giving up?,Call Taub. Tell him to pick up some morphine. There's no need for the Patient to be in pain.
He's on morphine.,No. He's on saline.
I figured you put him on saline so I switched him back to morphine.,"I love you. When you reach puberty, give me ï¿½ His abdominal pain. That was on morphine?"
Yes. Is there something that causes abdominal pain that doesn't respond to morphine?,I was right. He is being poisoned.
I was right. He is being poisoned.,What's this density on his hip?
Just bone.,Think less boney.
You think he's got lead poisoning?,"Explains the constipation, the nerves, the seizures. Hold him down."
"Explains the constipation, the nerves, the seizures. Hold him down.",You're not gonna feel a thing! Except excruciating pain.
You're not gonna feel a thing! Except excruciating pain.,"The mugger used hollow points. They exploded and left fragments. Your doctors missed a couple hiding behind your hipbone. It's no biggie. Except years later, they started to dissolve, and then, biggie, you started to dissolve."
"I'll start him on chelation. The agoraphobia, could it ï¿½",No. Lead wouldn't have started to disintegrate till years after.
I know you think that. But your life could be better. You ï¿½ you ï¿½ you'd have choices.,He's lying.
About what?,About Everything. About his life. He doesn't Even think he's happy here. He's miserable.
I've got Everything I need.,"Yeah? Well, then why did Taub find rose petals in your entry hallway? Struck me as a little weird. Thought it might be medically relevant. But it actually just told me that you were pathetic. The day you crashed in your entryway! Was your girlfriend's birthday. You weren't there for the mail. You were trying to go lay flowers on her grave."
"Yeah? Well, then why did Taub find rose petals in your entry hallway? Struck me as a little weird. Thought it might be medically relevant. But it actually just told me that you were pathetic. The day you crashed in your entryway! Was your girlfriend's birthday. You weren't there for the mail. You were trying to go lay flowers on her grave.","Yeah, he's got PTSD. Yeah, he's agoraphobic. He's also a coward. You want to change your life, do something. Don't beliEve your own rationalizations. Don't lock yourself up and pretend you're happy."
Good morning.,Don't wanna hear it.
So I take it you did not ask Cuddy out.,Yeah.
"Yeah ""I didn't"" or yeah ""I did""?",WhichEver one means you almost had me convinced it was a good idea.
"Oh. (He lets go of the elevator door, which starts to close. House prEvents it from closing with his cane]",Nothing to say?
No.,"No, you don't. Or no, you don't don't?"
WhichEver one means no.,Is this some kind of rEverse ï¿½ ?
She's a factory worker. Means she pRobably works close to a lot of recent immigrants.,Thank God some of those offshore sweat shop jobs are coming back to America.
She's an eMancipated minor.,"In a factory? Either an Olympic gymnast who busted her leg, a Parkld star who blew all her sequel money on drugs, or she's just a lying runaway."
"The girl's holding down a job, makes her rent.","On the one hand, Kutner's right. Maybe she's a sweet young thing, not a screw-up lying through her teeth. On the two hand, a pregnancy test only takes five minutes, and we no longer kill rabbits. So in conclusion, shut up, do the tests. What else?"
16 doesn't automatically mean a risky lifestyle.,"Didn't we just have this conversation? Kutner trusts her. Someone else doesn't. So, in conclusion, shut up. Check her home and work for toxins or drugs. Kutner and Foreman, do an echo. Find the extent of the heart damage."
Kutner can do the echo on his own.,Yes! But he'll be very lonely. So I have to ask why?
I've been asked to help run a clinical trial. That okay with you?,Good for your career. Great for your street cred. What's in it for me?
You have four doctors and nEver more than one case. It means I have time to work on other things. And they'll have more chances to step up. Stand on their own.,"And if there's an emergency with Annie, should she wait until you finish grooming lab rats?"
"If there's a pRoblem with Sophia or any other Patient, you know I'll be there. The Patient is my priority.","No. Oh, do you want a reason? Clinical trials take time. Your time is my time."
Even if she is: Irrelevant. Echo showed no heart damage.,Would that be the echo that Foreman chose not to run with you after I dashed his new drug discovery dreams?
I didn't screw up the echo.,I know. No structural heart damage.
So if it's not the heart!,It's the heart.
Didn't you just say it's not?,Not all heart damage has to be structural. Drugs could have caused intermittent tachycardia.
She builds her own furniture. You think she skips work because she's feeling a little weak? She needs steroids.,"Steroids could cause an irregular heartbeat, making her current one irregular-er-er. Foreman. Start her on beta-blockers. The rest of you, do anything that isn't starting her on beta-blockers."
We started her on haloperidol. She's stable. Lab tests showed the delirium wasn't caused by a metabolic pRoblem. Means we still don't know what caused it.,"Yeah, we do. Nice job, Foreman."
I didn't switch her meds.,But your decision to stick it to the Man clearly inspired Oliver Twist.
I treated her based on the symptoms she presented.,"You treated her based on empathetic orphan syndrome, and almost killed her in the process."
